NAME               KEYWORD       S                         L                         ANGLE                     ROLL                      K0L                       K0SL                      K1L                       K1SL                      K2L                       K2SL                      HKICK                     VKICK                     KICK                      X                         XP                        Y                         YP                        DX                        DPX                       DY                        DPY                       BETA11                    BETA12                    BETA21                    BETA22                    ALFA11                    ALFA12                    ALFA21                    ALFA22                   
Q5PR               Quadrupole    +8.00699727732164064E+001 +1.50000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -9.78315436791759863E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.87159916899964323E-015 -6.82280979542632387E-016 +0.00000000000000000E+000 +0.00000000000000000E+000 -7.81780258211915019E-002 -2.31199790327870046E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +9.90298456724063136E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +7.80263682971852859E+001 +3.08308910149739512E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +6.17027940446997736E+000
OFL                Drift         +8.05699727732164064E+001 +5.00000000000000000E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.53045867922832714E-015 -6.82280979542632387E-016 +0.00000000000000000E+000 +0.00000000000000000E+000 -8.97380153375850059E-002 -2.31199790327870046E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +7.08510436151705036E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +7.19812784561344614E+001 +2.55267130994976821E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +5.91990027763167337E+000
O3PR               Drift         +8.73458956677310852E+001 +6.77592289451467789E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -2.09262463054649604E-015 -6.82280979542632387E-016 +0.00000000000000000E+000 +0.00000000000000000E+000 -2.46397210586545762E-001 -2.31199790327870046E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.11979795919251721E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.47470821438822917E+001 -4.63546880486119051E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.52680096192715409E+000
OBFL               Drift         +8.75432790677310919E+001 +1.97383399999999987E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -2.22729557004395112E-015 -6.82280979542632387E-016 +0.00000000000000000E+000 +0.00000000000000000E+000 -2.50960710655965979E-001 -2.31199790327870046E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.30692391520013622E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.37690946589230592E+001 -4.84486013909351421E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.42795959523840255E+000
YI6_B4             Monitor       +8.75432790677310919E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -2.22729557004395112E-015 -6.82280979542632387E-016 +0.00000000000000000E+000 +0.00000000000000000E+000 -2.50960710655965979E-001 -2.31199790327870046E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.30692391520013622E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.37690946589230592E+001 -4.84486013909351421E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.42795959523840255E+000
OSB4C              Drift         +8.77695186677310915E+001 +2.26239600000000096E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -2.38165454594328469E-015 -6.82280979542632387E-016 +0.00000000000000000E+000 +0.00000000000000000E+000 -2.56191365464352117E-001 -2.31199790327870046E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.53157357786380572E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.26961244326679257E+001 -5.08486315707875125E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +2.31466824822990791E+000
YI6_TQ4            Quadrupole    +8.85195186677310915E+001 +7.50000000000000000E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.89500532157400908E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -2.85617503530309407E-015 -5.80025058199626422E-016 +0.00000000000000000E+000 +0.00000000000000000E+000 -2.69714149135879044E-001 -1.28529491302949907E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.26539225421655459E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +9.81505026390997415E+000 -4.60392554137960275E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.56409732798271350E+000
OQS4               Drift         +8.86495941677310952E+001 +1.30075500000000011E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -2.93162208476093976E-015 -5.80025058199626422E-016 +0.00000000000000000E+000 +0.00000000000000000E+000 -2.71386002920476765E-001 -1.28529491302949907E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.38631393045411855E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +9.41408984376818303E+000 -4.69234287485278934E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.51842336301436265E+000
YI6_QD4            Quadrupole    +9.04615431677310937E+001 +1.81194900000000003E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.69820546843537090E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -3.48993102899895534E-015 -2.03436312473558252E-017 +0.00000000000000000E+000 +0.00000000000000000E+000 -2.52804934449806451E-001 +3.28338071147323621E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +4.02058617108912557E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +7.19353546977581182E+000 +1.55847518431002996E+000 -0.00000000000000000E+000 +0.00000000000000000E+000 -1.69724013972247123E-001
OCQ4               Drift         +9.07558186677310914E+001 +2.94275500000000023E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -3.49591766125608650E-015 -2.03436312473558252E-017 +0.00000000000000000E+000 +0.00000000000000000E+000 -2.43142749444215045E-001 +3.28338071147323621E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.92960048578145091E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +7.30581180495082716E+000 +1.53337871816143756E+000 -0.00000000000000000E+000 +0.00000000000000000E+000 -2.11810755911805648E-001
LMP06Y04           Kicker        +9.12558186677310914E+001 +5.00000000000000000E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -3.50608947687976426E-015 -2.03436312473558252E-017 +0.00000000000000000E+000 +0.00000000000000000E+000 -2.26725845886848854E-001 +3.28338071147323621E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.77839466931383186E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +7.55337710204900326E+000 +1.49073761119094139E+000 -0.00000000000000000E+000 +0.00000000000000000E+000 -2.83319838284545655E-001
OCFL               Drift         +9.17651016677310878E+001 +5.09283000000000041E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -3.51645014243231154E-015 -2.03436312473558252E-017 +0.00000000000000000E+000 +0.00000000000000000E+000 -2.10004146098036609E-001 +3.28338071147323621E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.62876516248523657E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +7.87905155972089943E+000 +1.44730482942843097E+000 -0.00000000000000000E+000 +0.00000000000000000E+000 -3.56156558280617985E-001
O_ROTATOR_IP6R     Pipe          +1.03888775667731082E+002 +1.21236739999999994E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -3.76308969565146681E-015 -2.03436312473558252E-017 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.88062227539859128E-001 +3.28338071147323621E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.37294236052585621E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.75362098781119755E+001 +4.13371069609584030E-001 -0.00000000000000000E+000 +0.00000000000000000E+000 -2.09006216373311071E+000
OBFL               Drift         +1.04086159067731089E+002 +1.97383399999999987E-001 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 +0.00000000000000000E+000 -3.76710519075541623E-015 -2.03436312473558252E-017 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.94543076023109190E-001 +3.28338071147323621E-002 +0.00000000000000000E+000 +0.00000000000000000E+000 +1.35695610435702783E+001 +0.00000000000000000E+000 +0.00000000000000000E+000 +3.83668690475353671E+001 +3.96537776262383568E-001 -0.00000000000000000E+000 +0.00000000000000000E+000 -2.11829157535233348E+000
